file,primary_role,notes_before,notes_after,reduced,harmony_preserved,trills,cc,korg_valid,musical_before,musical_after
Ko je pijan zaspao za stolom - Rade Lackovic ).mid,drums,4772,4772,0,0,0,4772,True,70.8,86.7
Kockar - Mile Kitic ).mid,accordion,8569,8569,0,0,6,8569,True,70.8,87.3
Korak od sna - Sinan Sakic ).mid,drums,8870,8870,0,0,78,8870,True,70.8,87.5
Kraljica trotoara - Mile Kitic ).mid,piano,5106,5106,0,0,2,5106,True,70.8,87.5
Krcma - Mile Kitic ).mid,accordion,10093,10093,0,0,46,10093,True,70.8,87.5
Krcma u planini - Nedeljko Bilkic ).mid,accordion,9662,9662,0,0,405,9662,True,70.8,87.5
Lazes da si srecna - Kemal Malovcic ).mid,accordion,9038,9038,0,0,12,9038,True,70.8,87.5
Lijepi dani mog djetinjstva - Saban Saulic ).mid,accordion,3571,3571,0,0,4,3571,True,70.8,87.5
Ljubav nije dug - Saban Saulic ).mid,accordion,6360,6360,0,0,4,6360,True,70.8,87.5
Ljubila Me Zena Ta - Sinan Sakic ).mid,accordion,10524,10524,0,0,0,10524,True,70.8,86.7
Luda Glava Pijana - Kemal Malovcic ).mid,organ,7358,7358,0,0,0,7358,True,70.8,86.7
Mejra Seta - Halid Muslimovic ).mid,drums,13202,13202,0,0,0,13202,True,70.8,86.7
Mene je ucilo vrijeme - Halid Muslimovic ).mid,drums,2761,2761,0,0,0,2761,True,70.8,86.7
Miko druze moj - Sinan Sakic ).mid,accordion,12034,12034,0,0,146,12034,True,70.8,87.3
More i planine - Halid Beslic ).mid,accordion,13156,13156,0,0,6,13156,True,70.8,87.5
Mostovi Tuge - Halid Beslic ).mid,accordion,12053,12053,0,0,297,12053,True,70.8,87.5
Na Igranci Sinoc - Sinan Sakic ).mid,accordion,8442,8442,0,0,0,8442,True,70.8,86.7
Na Rastanku - Kvaka ).mid,accordion,7535,7535,0,0,0,7535,True,70.8,86.7
Na prijestolu sjedi sultan - Saban Saulic ).mid,accordion,9589,9589,0,0,21,9589,True,70.8,87.3
Najljepsi je na svijetu - Serif Konjevic ).mid,drums,12570,12570,0,0,24,12570,True,70.8,87.5
Naviko' sam ja na nocni zivot - Toma ).mid,drums,9288,9288,0,0,0,9288,True,70.8,86.7
Ne Zaboravi Me - Sinan Sakic ).mid,accordion,10774,10774,0,0,36,10774,True,70.8,87.5
Ne diraj coveka za stolom - Mitar Miric ).mid,accordion,8028,8028,0,0,0,8028,True,70.8,86.7
Ne tuguj zeno - Kemal Malovcic ).mid,accordion,7853,7853,0,0,14,7853,True,70.8,87.5
Ne volis me vise ti - Nino ).mid,woodwind,10631,10631,0,0,295,10631,True,70.8,87.5
Ne zovi me na grijeh - Merlin ).mid,accordion,7579,7579,0,0,6,7579,True,70.8,87.5
Ne zovite doktore - Serif Konjevic ).mid,woodwind,9187,9187,0,0,73,9187,True,70.8,87.5
Nece meni Drina biti kapija - Hule ).mid,drums,8999,8999,0,0,82,8999,True,70.8,87.5
Necu da se rastanemo - Serif Konjevic ).mid,accordion,9090,9090,0,0,24,9090,True,70.8,87.5
Necu lijeka ni ljekare - Nedeljko Bilkic ).mid,accordion,7764,7764,0,0,259,7764,True,70.8,87.5
Nedelja -  Dzej ).mid,drums,3794,3794,0,0,0,3794,True,70.8,86.7
"Nek Puknu Dusmani - Dragana,Sinan,Semsa,Mile ).mid",drums,8305,8305,0,0,0,8305,True,70.8,86.7
Neka pati zena ta - Djani ).mid,accordion,9534,9534,0,0,199,9534,True,70.8,87.5
Nekada smo ti i ja - Ljuba Alicic ).mid,accordion,9636,9636,0,0,4,9636,True,70.8,87.5
"Nemam drage, nemam druga - Keba ).mid",drums,7481,7481,0,0,0,7481,True,70.8,86.7
Nemoj pogled da sakrivas - Saban Saulic ).enhanced.mid,accordion,15590,15590,0,0,48,15590,True,70.8,87.5
